,Count Date,Location Description,Count Direction,Count 15 Minutes,Configuration,Study ID,Street,Street From,Street To,lat,long
50992,2002-04-26 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,249.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
50993,2002-04-26 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,290.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51000,2002-04-26 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,227.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51001,2002-04-26 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,258.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51002,2002-04-26 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,200.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51003,2002-04-26 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,262.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51004,2002-04-26 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,222.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51005,2002-04-26 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,218.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51006,2002-04-26 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,183.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51007,2002-04-26 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,232.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51008,2002-04-26 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,190.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51009,2002-04-26 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,217.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51010,2002-04-26 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,175.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51011,2002-04-26 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,198.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51012,2002-04-26 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,227.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51013,2002-04-26 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,189.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51014,2002-04-26 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,262.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51015,2002-04-26 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,184.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51016,2002-04-26 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,209.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
51017,2002-04-26 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,180.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52601,2002-04-29 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,313.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52602,2002-04-29 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,205.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52603,2002-04-29 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,312.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52604,2002-04-29 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,216.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52605,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,280.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52606,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,238.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52607,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,195.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52608,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,169.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52609,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,184.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52610,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,162.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52695,2002-04-29 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,206.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52696,2002-04-29 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,242.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52697,2002-04-29 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,213.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52698,2002-04-29 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,211.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52699,2002-04-29 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,167.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52700,2002-04-29 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,209.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52701,2002-04-29 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,183.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52702,2002-04-29 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,190.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52703,2002-04-29 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,147.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52704,2002-04-29 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,199.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52705,2002-04-29 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,180.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52706,2002-04-29 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,200.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52709,2002-04-29 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,180.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52710,2002-04-29 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,189.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52711,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,181.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52712,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,160.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52713,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,192.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52714,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,199.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52715,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,163.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52716,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,192.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52925,2002-04-30 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,248.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52926,2002-04-30 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,113.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52927,2002-04-30 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,316.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52928,2002-04-30 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,145.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52931,2002-04-30 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,327.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52932,2002-04-30 07:29:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,193.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52933,2002-04-30 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,347.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52934,2002-04-30 07:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,200.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52935,2002-04-30 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,283.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52936,2002-04-30 08:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,175.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52937,2002-04-30 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,325.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52938,2002-04-30 08:14:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,212.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52939,2002-04-30 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,360.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52940,2002-04-30 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,243.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52941,2002-04-30 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,331.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52942,2002-04-30 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,242.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
